DateTime,Nedbør,Højeste,Middel
01-12-23 0:00,0,,
02-12-23 0:00,0.1,,
03-12-23 0:00,3.7,,
04-12-23 0:00,0,,
05-12-23 0:00,0.3,,
06-12-23 0:00,6,,
07-12-23 0:00,1.5,,
08-12-23 0:00,1.4,,
09-12-23 0:00,1.4,,
10-12-23 0:00,6.8,,
11-12-23 0:00,6.1,,
12-12-23 0:00,0.1,,
13-12-23 0:00,0,,
14-12-23 0:00,0,,
15-12-23 0:00,0.4,,
16-12-23 0:00,0.1,,
17-12-23 0:00,2.3,,
18-12-23 0:00,3.5,,
19-12-23 0:00,0.6,,
20-12-23 0:00,5.4,,
21-12-23 0:00,16.1,,
22-12-23 0:00,0,,
23-12-23 0:00,1.2,,
24-12-23 0:00,5.9,,
25-12-23 0:00,4.7,,
26-12-23 0:00,9.2,,
27-12-23 0:00,5.8,,
28-12-23 0:00,15.8,,
29-12-23 0:00,7,,
30-12-23 0:00,1.8,,
31-12-23 0:00,8.6,,
