DateTime,Nedbør,Højeste,Middel
01-05-23 0:00,2.3,,
02-05-23 0:00,0,,
03-05-23 0:00,0,,
04-05-23 0:00,0,,
05-05-23 0:00,0,,
06-05-23 0:00,0,,
07-05-23 0:00,0,,
08-05-23 0:00,0,,
09-05-23 0:00,0,,
10-05-23 0:00,0.7,,
11-05-23 0:00,0.2,,
12-05-23 0:00,0,,
13-05-23 0:00,0,,
14-05-23 0:00,0.3,,
15-05-23 0:00,4.4,,
16-05-23 0:00,0,,
17-05-23 0:00,0,,
18-05-23 0:00,0,,
19-05-23 0:00,0,,
20-05-23 0:00,0,,
21-05-23 0:00,0,,
22-05-23 0:00,0.1,,
23-05-23 0:00,11,,
24-05-23 0:00,0.1,,
25-05-23 0:00,0,,
26-05-23 0:00,0,,
27-05-23 0:00,0,,
28-05-23 0:00,0,,
29-05-23 0:00,0,,
30-05-23 0:00,0,,
31-05-23 0:00,0,,
