DateTime,Nedbør,Højeste,Middel
01-02-24 0:00,0.7,,
02-02-24 0:00,1.4,,
03-02-24 0:00,0.1,,
04-02-24 0:00,3.7,,
05-02-24 0:00,11.1,,
06-02-24 0:00,24.8,,
07-02-24 0:00,3.2,,
08-02-24 0:00,0.7,,
09-02-24 0:00,2.2,,
10-02-24 0:00,5.1,,
11-02-24 0:00,0.1,,
12-02-24 0:00,11.2,,
13-02-24 0:00,1.2,,
14-02-24 0:00,1,,
15-02-24 0:00,3.8,,
16-02-24 0:00,1.8,,
17-02-24 0:00,0,,
18-02-24 0:00,5.4,,
19-02-24 0:00,0.3,,
20-02-24 0:00,0,,
21-02-24 0:00,4.5,,
22-02-24 0:00,3.2,,
23-02-24 0:00,12,,
24-02-24 0:00,1.1,,
25-02-24 0:00,4.1,,
26-02-24 0:00,0.1,,
27-02-24 0:00,0,,
28-02-24 0:00,0.6,,
29-02-24 0:00,4.2,,
